"","ReferenceID","Block","Lot","BuildingAddress","NoticeDate","Neighborhood","PoliceDistrict","CouncilDistrict","Location","Latitude","Longitude"
"73","0055C063 032316","0055C","063","1104 N CARROLLTON AVE",2016-03-23,"SANDTOWN-WINCHESTER","WESTERN","9","(39.30139077, -76.63768238)","39.30139077"," -76.63768238"
"74","0058 017 032316","0058","017","1932 MOSHER ST",2016-03-23,"MIDTOWN-EDMONDSON","WESTERN","9","(39.29997845, -76.64873347)","39.29997845"," -76.64873347"
"75","0073 024 031616","0073","024","930 N MOUNT ST",2016-03-16,"SANDTOWN-WINCHESTER","WESTERN","9","(39.29980611, -76.6446717)","39.29980611"," -76.6446717"
"76","0075 016 032416","0075","016","1515 MOSHER ST",2016-03-24,"SANDTOWN-WINCHESTER","WESTERN","9","(39.2997724, -76.64245296)","39.2997724"," -76.64245296"
"77","0082 058 032416","0082","058","805 N BRICE ST",2016-03-24,"MIDTOWN-EDMONDSON","WESTERN","9","(39.2978901, -76.64974531)","39.2978901"," -76.64974531"
"78","0096 052 031516","0096","052","707 N MONROE ST",2016-03-15,"HARLEM PARK","WESTERN","9","(39.29682003, -76.64715186)","39.29682003"," -76.64715186"
"79","0149 044 031616","0149","044","310 N BRUCE ST",2016-03-16,"FRANKLIN SQUARE","WESTERN","9","(39.29235262, -76.64485001)","39.29235262"," -76.64485001"
"80","0244 074 031516","0244","074","1708 LEMMON ST",2016-03-15,"UNION SQUARE","SOUTHERN","9","(39.28584138, -76.64425453)","39.28584138"," -76.64425453"
"81","0248 029 031516","0248","029","121 S CALHOUN ST",2016-03-15,"UNION SQUARE","SOUTHERN","9","(39.28562872, -76.63911396)","39.28562872"," -76.63911396"
"82","0265 011 031816","0265","011","1321 W PRATT ST",2016-03-18,"NEW SOUTHWEST/MOUNT CLARE","SOUTHERN","9","(39.28532442, -76.63859617)","39.28532442"," -76.63859617"
"83","0272 079 032216","0272","079","2110 WILHELM ST",2016-03-22,"CARROLLTON RIDGE","SOUTHWESTERN","9","(39.28370048, -76.6504335)","39.28370048"," -76.6504335"
"84","0273 071 031716","0273","071","2003 MCHENRY ST",2016-03-17,"CARROLLTON RIDGE","SOUTHERN","9","(39.28397543, -76.64890327)","39.28397543"," -76.64890327"
"85","0294 012 031416","0294","012","2422 1/2 PENNSYLVANIA AVE",2016-03-14,"PENN NORTH","WESTERN","7","(39.30963682, -76.64232212)","39.30963682"," -76.64232212"
"86","0294 027 031716","0294","027","1627 W NORTH AVE",2016-03-17,"PENN NORTH","WESTERN","7","(39.30977597, -76.64324121)","39.30977597"," -76.64324121"
"87","0294 054 031416","0294","054","1707 N CAREY ST",2016-03-14,"PENN NORTH","WESTERN","7","(39.30907584, -76.6427263)","39.30907584"," -76.6427263"
"88","0321 005 032116","0321","005","1908 DRUID HILL AVE",2016-03-21,"DRUID HEIGHTS","CENTRAL","11","(39.30677018, -76.63483641)","39.30677018"," -76.63483641"
"89","0620 017 032416","0620","017","107 N HOWARD ST",2016-03-24,"DOWNTOWN","CENTRAL","11","(39.29073259, -76.61921092)","39.29073259"," -76.61921092"
"90","0702 010 031616","0702","010","2104 EAGLE ST",2016-03-16,"CARROLLTON RIDGE","SOUTHWESTERN","9","(39.28056347, -76.64933302)","39.28056347"," -76.64933302"
"91","0758 109 031416","0758","109","1347 GLYNDON AVE",2016-03-14,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28096927, -76.63757631)","39.28096927"," -76.63757631"
"92","0790 082 031716","0790","082","1220 CLEVELAND ST",2016-03-17,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28012403, -76.63313967)","39.28012403"," -76.63313967"
"93","0857 022 032316","0857","022","775 CARROLL ST",2016-03-23,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28197942, -76.62814903)","39.28197942"," -76.62814903"
"94","1160 025 032416","1160","025","1205 E PRESTON ST",2016-03-24,"OLIVER","EASTERN","12","(39.30490826, -76.60153842)","39.30490826"," -76.60153842"
"95","1163 022 031516","1163","022","1212 N BOND ST",2016-03-15,"OLIVER","EASTERN","12","(39.30482475, -76.59687707)","39.30482475"," -76.59687707"
"96","1163 050 031716","1163","050","1223 N CAROLINE ST",2016-03-17,"OLIVER","EASTERN","12","(39.30476771, -76.59772551)","39.30476771"," -76.59772551"
"97","1449 079 031516","1449","079","1828 N CHESTER ST",2016-03-15,"BROADWAY EAST","EASTERN","12","(39.31152594, -76.58888589)","39.31152594"," -76.58888589"
"98","1457 051 031516","1457","051","1706 N WOLFE ST",2016-03-15,"BROADWAY EAST","EASTERN","12","(39.30994021, -76.59184761)","39.30994021"," -76.59184761"
"99","1473 025 032416","1473","025","1638 N BRADFORD ST",2016-03-24,"BROADWAY EAST","EASTERN","13","(39.30985999, -76.58529956)","39.30985999"," -76.58529956"
"100","1496 034 032116","1496","034","1410 N GAY ST",2016-03-21,"BROADWAY EAST","EASTERN","12","(39.30686594, -76.59115322)","39.30686594"," -76.59115322"
"101","1496 035 032116","1496","035","1408 N GAY ST",2016-03-21,"BROADWAY EAST","EASTERN","12","(39.30682426, -76.59116881)","39.30682426"," -76.59116881"
"102","1503 045 032416","1503","045","1402 N MONTFORD AVE",2016-03-24,"BROADWAY EAST","EASTERN","13","(39.30719016, -76.58448412)","39.30719016"," -76.58448412"
"103","1542 038 032116","1542","038","1232 N CURLEY ST",2016-03-21,"BEREA","EASTERN","13","(39.30577737, -76.57654284)","39.30577737"," -76.57654284"
"104","0009 031 120508","0009","031","1707 WESTWOOD AVE",2008-12-05,"SANDTOWN-WINCHESTER","WESTERN","7","(39.30868471, -76.64521986)","39.30868471"," -76.64521986"
"105","0009 033 082012","0009","033","1703 WESTWOOD AVE",2012-08-20,"SANDTOWN-WINCHESTER","WESTERN","7","(39.30868774, -76.64511791)","39.30868774"," -76.64511791"
"106","0009 035 062014","0009","035","1726 N MOUNT ST",2014-06-20,"SANDTOWN-WINCHESTER","WESTERN","7","(39.30855459, -76.64516938)","39.30855459"," -76.64516938"
"107","0009 037 081607","0009","037","1722 N MOUNT ST",2007-08-16,"SANDTOWN-WINCHESTER","WESTERN","7","(39.30848991, -76.64516322)","39.30848991"," -76.64516322"
